2019/12/26 15:15:14 main.go:14: test
2019/12/28 14:26:30 bitflyer.go:55: action=doRequest endpoint=https://api.bitflyer.com/v1/me/getbalance
2019/12/28 14:26:30 bitflyer.go:90: url=me/getbalance resp=[{"currency_code":"JPY","amount":8.0,"available":8.000000000000},{"currency_code":"BTC","amount":0.00000443,"available":0.000004430000},{"currency_code":"BCH","amount":0.0,"available":0.0},{"currency_code":"ETH","amount":0.0,"available":0.0},{"currency_code":"ETC","amount":0.0,"available":0.0},{"currency_code":"LTC","amount":0.0,"available":0.0},{"currency_code":"MONA","amount":0.0,"available":0.0},{"currency_code":"LSK","amount":0.0,"available":0.0},{"currency_code":"XRP","amount":0.0,"available":0.0}]
2019/12/28 14:45:08 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 15:07:32 bitflyer.go:58: action=doRequest endpoint=https://api.bitflyer.com/v1/me/sendchildorder
2019/12/28 15:28:36 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:11:09 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:11:09 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:14:20 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:20.8985709Z 392560 7293.6 7310 0.01 0.01 76.64655372 88.3828059 7305.9 19.47922902 19.47922902}
2019/12/28 16:14:25 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:25.3567679Z 392561 7293.6 7310 0.01 0.01 76.64655372 88.4828059 7305.9 19.47922902 19.47922902}
2019/12/28 16:14:27 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:27.2923513Z 392562 7293.6 7302 0.01 0.01 76.64655372 88.4928059 7305.9 19.47922902 19.47922902}
2019/12/28 16:24:52 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:24:52 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:24:53 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:24:53.6300814Z 392701 7294.1 7301.3 0.01 0.2 76.646568 85.710642 7305.9 19.47922902 19.47922902}
2019/12/28 16:25:01 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:25:01.1155675Z 392702 7294.1 7301.3 0.01 0.2 76.646568 85.63922242 7305.9 19.47922902 19.47922902}
2019/12/28 16:25:05 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:25:05.7585352Z 392703 7294.1 7301.3 0.01 0.2 76.646568 85.73922242 7305.9 19.47922902 19.47922902}
2019/12/28 16:25:10 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:25:10.9392988Z 392704 7294.1 7301.3 0.01 0.2 76.646568 85.63922242 7305.9 19.47922902 19.47922902}
2019/12/28 16:25:15 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:25:15.2074995Z 392705 7294.1 7301.3 0.01 0.2 76.646568 85.73479234 7305.9 19.47922902 19.47922902}
2019/12/28 16:25:25 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:25:25.8260733Z 392706 7294.1 7301.3 0.01 0.2 76.646568 85.63922242 7305.9 19.47922902 19.47922902}
2019/12/28 16:25:30 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:25:30.1252184Z 392707 7294.1 7301.3 0.01 0.2 76.646568 85.68057203 7305.9 19.47922902 19.47922902}
2019/12/28 16:25:50 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:25:50.1530409Z 392708 7294.1 7301.3 0.01 0.2 76.646568 85.63922242 7305.9 19.47922902 19.47922902}
2019/12/28 16:25:54 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:25:54.7507792Z 392709 7294.1 7301.3 0.01 0.2 76.646568 85.72841828 7305.9 19.47922902 19.47922902}
2019/12/28 16:27:14 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:27:14 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:27:16 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:27:16.3586435Z 392722 7293.5 7299.2 0.737 0.4 76.616568 85.72922242 7305.9 19.47922902 19.47922902}
2019/12/28 16:27:50 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:27:50.5883253Z 392725 7293.5 7299.2 0.737 0.4 76.616568 85.6958059 7305.9 19.47922902 19.47922902}
2019/12/28 16:27:53 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:27:53.6603076Z 392726 7293.5 7299.2 0.737 0.4 76.616568 85.716035 7305.9 19.47922902 19.47922902}
2019/12/28 16:27:57 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:27:57.7585327Z 392730 7293.5 7294.16 0.737 0.1 76.616568 85.806035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:16 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:16.3999176Z 392731 7293.5 7294.16 0.737 0.1 76.626568 85.806035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:28 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:28.1605001Z 392732 7293.5 7294.16 0.737 0.1 76.626568 85.816035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:30 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:30.7491689Z 392733 7293.5 7294.16 0.737 0.1 76.636568 85.816035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:34 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:34.4196696Z 392734 7293.5 7294.16 0.737 0.1 76.666568 85.816035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:35 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:35.4907116Z 392736 7293.5 7294.5 0.737 0.01 76.656568 85.716035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:37 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:37.1974385Z 392738 7291.1 7294.5 0.1 0.01 76.656568 85.716035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:40 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:40.4721342Z 392739 7291.1 7294.5 0.1 0.01 75.919568 85.716035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:41 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:41.7569537Z 392740 7291.1 7294.5 0.1 0.01 76.657568 85.716035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:48 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:48.166071Z 392741 7291.1 7294.5 0.1 0.01 76.657568 85.616035 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:52 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:52.4873436Z 392744 7291.1 7294.5 0.838 0.01 76.657568 85.71177705 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:57 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:57.8521737Z 392745 7291.9 7294.5 0.02 0.01 76.677568 85.71177705 7305.9 19.47922902 19.47922902}
2019/12/28 16:28:59 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:28:59.2291504Z 392749 7291.1 7294.5 0.738 0.01 76.557568 85.11177705 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:00 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:00.1513085Z 392750 7291.1 7294.5 0.738 0.01 76.557568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:03 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:03.3518557Z 392751 7291.1 7294.5 0.738 0.01 76.557568 85.116035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:06 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:05.9585709Z 392752 7291.1 7294.5 0.738 0.01 76.557568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:09 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:09.1019938Z 392753 7291.1 7294.5 0.738 0.01 76.557568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:10 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:10.3896752Z 392754 7291.1 7294.5 0.738 0.01 76.557568 85.116035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:12 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:11.9971995Z 392755 7291.1 7294.5 0.738 0.01 76.557568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:16 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:16.407278Z 392756 7291.1 7294.5 0.738 0.01 76.557568 85.116035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:19 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:19.5484723Z 392757 7291.1 7294.5 0.738 0.01 76.617568 85.116035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:23 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:23.2988954Z 392758 7291.1 7294.5 0.738 0.01 76.617568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:26 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:26.4313278Z 392759 7291.1 7294.5 0.738 0.01 76.617568 85.11034282 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:33 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:33.9034801Z 392760 7291.1 7294.5 0.738 0.01 76.637568 85.11034282 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:36 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:36.5360716Z 392761 7291.1 7294.5 0.738 0.01 76.637568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:40 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:40.8071988Z 392762 7291.1 7294.5 0.738 0.01 76.637568 85.116035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:48 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:48.7098978Z 392763 7291.1 7294.5 0.738 0.01 76.637568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:29:53 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:29:52.9731879Z 392764 7291.1 7294.5 0.738 0.01 76.637568 85.0997386 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:01 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:01.2001466Z 392765 7291.1 7294.5 0.738 0.01 76.637568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:09 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:09.1195577Z 392766 7291 7294.5 0.02 0.01 75.899568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:10 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:10.0223391Z 392768 7291 7294.5 0.02 0.01 76.637568 85.116035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:13 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:13.246481Z 392770 7291 7294.5 0.02 0.01 75.899568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:14 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:14.5525022Z 392771 7291 7294.5 0.02 0.01 76.637568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:15 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:15.8085414Z 392772 7290.7 7294.5 0.03 0.01 76.617568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:16 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:16.8849703Z 392775 7290.7 7294.5 0.03 0.01 76.617568 85.116035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:25 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:25.5164638Z 392776 7290.7 7294.5 0.03 0.01 76.617568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:31 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:27.359746Z 392778 7290.7 7294.5 0.768 0.01 76.617568 85.016035 7305.9 19.47922902 19.47922902}
2019/12/28 16:30:33 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:30:30.082588Z 392779 7290.7 7294.5 0.768 0.01 76.617568 85.116035 7305.9 19.47922902 19.47922902}
